,unitid,opeid,opeid6,instnm,city,stabbr,zip,cip11bachl,violentcrime,propertycrime,state,crimescore
713,446677,367405,3674,Stevens-Henager College-Logan,Logan,UT,84321,1.0,61.6,1201.2,UT,403.48
712,230728,367700,3677,Utah State University,Logan,UT,84322-1400,2.0,61.6,1201.2,UT,403.48
437,171492,407200,4072,Northwood University-Michigan,Midland,MI,48640-2398,2.0,143.9,1108.0,MI,433.13
601,211158,331500,3315,Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,1.0,152.7,1325.8,PA,504.62999999999994
711,230038,367000,3670,Brigham Young University-Provo,Provo,UT,84602,2.0,71.7,1551.5,UT,515.64
726,232672,372300,3723,Mary Baldwin College,Staunton,VA,24401,1.0,139.4,1483.3,VA,542.5699999999999
787,447670,464605,4646,Minnesota School of Business-Rochester,Rochester,MN,55901,1.0,127.6,1514.4,MN,543.64
788,482343,405736,4057,National American University-Rochester,Rochester,MN,55901-4001,2.0,127.6,1514.4,MN,543.64
603,212577,326500,3265,Franklin and Marshall College,Lancaster,PA,17604-3003,1.0,180.4,1422.0,PA,552.88
725,232609,372000,3720,Lynchburg College,Lynchburg,VA,24501-3113,1.0,180.4,1455.2,VA,562.84
724,232557,2053000,20530,Liberty University,Lynchburg,VA,24515,2.0,180.4,1455.2,VA,562.84
723,232423,372100,3721,James Madison University,Harrisonburg,VA,22807,1.0,145.8,1555.7,VA,568.77
722,232043,370800,3708,Eastern Mennonite University,Harrisonburg,VA,22802-2462,1.0,145.8,1555.7,VA,568.77
731,234076,374500,3745,University of Virginia-Main Campus,Charlottesville,VA,22903-2628,2.0,164.6,1514.5,VA,569.5699999999999
778,450571,869414,8694,Rasmussen College-Wisconsin,Green Bay,WI,54303-2349,2.0,196.6,1453.9,WI,573.79
777,240277,389900,3899,University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,2.0,196.6,1453.9,WI,573.79
779,458751,464208,4642,Globe University–Green Bay,Green Bay,WI,54311,1.0,196.6,1453.9,WI,573.79
609,214689,332903,3329,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,2.0,216.5,1430.2,PA,580.61
126,128744,141600,1416,University of Bridgeport,Bridgeport,CT,06604-5620,2.0,201.5,1473.2,CT,583.01
775,240268,391700,3917,University of Wisconsin-Eau Claire,Eau Claire,WI,54702-4004,2.0,129.1,1669.1,WI,591.0999999999999
776,456816,464201,4642,Globe University-Eau Claire,Eau Claire,WI,54701-5168,1.0,129.1,1669.1,WI,591.0999999999999
794,477950,367411,3674,Stevens-Henager College-St George,St. George,UT,84790-2111,1.0,133.3,1676.2,UT,596.1700000000001
782,367884,3037500,30375,Hodges University,Naples,FL,34119-7932,2.0,286.7,1347.7,FL,605.0
573,217059,339900,3399,York College Pennsylvania,York,PA,17403-3651,1.0,217.5,1551.4,PA,617.6700000000001
572,214829,332918,3329,Pennsylvania State University-Penn State York,York,PA,17403-3326,2.0,217.5,1551.4,PA,617.6700000000001
571,210906,2557800,25578,The Art Institutes of York-PA,York,PA,17402-9012,1.0,217.5,1551.4,PA,617.6700000000001
780,240365,392000,3920,University of Wisconsin-Oshkosh,Oshkosh,WI,54901,2.0,177.6,1683.8,WI,629.46
610,215284,337902,3379,University of Pittsburgh-Johnstown,Johnstown,PA,15904,1.0,199.6,1633.9,PA,629.89
399,161165,204300,2043,Husson University,Bangor,ME,04401-2999,2.0,67.3,1984.5,ME,642.46
400,161554,205400,2054,University of Southern Maine,Portland,ME,04103,2.0,134.6,1833.7,ME,644.33
523,200022,298800,2988,Bismarck State College,Bismarck,ND,58506-5587,2.0,227.1,1667.6,ND,659.25
524,200217,299200,2992,University of Mary,Bismarck,ND,58504,2.0,227.1,1667.6,ND,659.25
525,200554,2242900,22429,United Tribes Technical College,Bismarck,ND,58504,2.0,227.1,1667.6,ND,659.25
361,153603,186900,1869,Iowa State University,Ames,IA,50011-2030,2.0,158.5,1848.3,IA,665.44
365,155399,192800,1928,Kansas State University,Manhattan,KS,66506,1.0,229.9,1687.7,KS,667.24
793,474906,3120302,31203,CollegeAmerica-Stevens Henager College,Idaho Falls,ID,83402,1.0,183.9,1822.8,ID,675.5699999999999
714,230852,368400,3684,Champlain College,Burlington,VT,05401,2.0,128.5,1955.4,VT,676.5699999999999
715,231174,369600,3696,University of Vermont,Burlington,VT,05405-0160,1.0,128.5,1955.4,VT,676.5699999999999
308,145646,169600,1696,Illinois Wesleyan University,Bloomington,IL,61702-2900,1.0,252.0,1668.6,IL,676.9799999999999
256,142115,161600,1616,Boise State University,Boise,ID,83725,2.0,233.9,1725.3,ID,681.3199999999999
257,142337,732915,7329,ITT Technical Institute-Boise,Boise,ID,83713-1529,1.0,233.9,1725.3,ID,681.3199999999999
258,455600,4051323,40513,Brown Mackie College-Boise,Boise,ID,83709,1.0,233.9,1725.3,ID,681.3199999999999
259,460899,367406,3674,Stevens-Henager College-Boise,Boise,ID,83709-6733,2.0,233.9,1725.3,ID,681.3199999999999
757,237686,382800,3828,West Virginia University at Parkersburg,Parkersburg,WV,26104,1.0,160.4,1902.8,WV,683.1199999999999
759,238078,383100,3831,Wheeling Jesuit University,Wheeling,WV,26003,2.0,333.9,1499.7,WV,683.64
607,213668,329300,3293,Lycoming College,Williamsport,PA,17701-5192,1.0,209.3,1790.6,PA,683.6899999999999
608,366252,339500,3395,Pennsylvania College of Technology,Williamsport,PA,17701-5799,2.0,209.3,1790.6,PA,683.6899999999999
758,238032,382700,3827,West Virginia University,Morgantown,WV,26506-6201,2.0,267.6,1670.5,WV,688.47
421,169479,224900,2249,Davenport University,Grand Rapids,MI,49512-9396,2.0,329.0,1618.2,MI,715.76
420,169080,224100,2241,Calvin College,Grand Rapids,MI,49546,1.0,329.0,1618.2,MI,715.76
419,168786,223900,2239,Aquinas College,Grand Rapids,MI,49506-1799,1.0,329.0,1618.2,MI,715.76
569,210775,323300,3233,Alvernia University,Reading,PA,19607-1799,1.0,309.2,1681.6,PA,720.92
570,214704,332906,3329,Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,2.0,309.2,1681.6,PA,720.92
568,210571,322900,3229,Albright College,Reading,PA,19612-5234,1.0,309.2,1681.6,PA,720.92
594,210960,747000,7470,The Art Institute of Pittsburgh,Pittsburgh,PA,15219-1328,1.0,266.3,1782.9,PA,721.28
600,451662,747000,7470,The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,15222-4332,2.0,266.3,1782.9,PA,721.28
595,211440,324200,3242,Carnegie Mellon University,Pittsburgh,PA,15213-3890,1.0,266.3,1782.9,PA,721.28
599,215442,335700,3357,Point Park University,Pittsburgh,PA,15222-1984,2.0,266.3,1782.9,PA,721.28
