dev_category,developer_friendly_name,variable_name,api_data_type,label,value,label_2,scorecard_y_n,source,notes
root,id,UNITID,integer,,,,,IPEDS,
root,ope8_id,OPEID,integer,,,,,IPEDS,
root,ope6_id,opeid6,integer,,,,,IPEDS,
school,name,INSTNM,string,,,,true,IPEDS,
school,city,CITY,string,,,,true,IPEDS,
school,state,STABBR,string,,,,true,IPEDS,
school,zip,ZIP,integer,,,,true,IPEDS,
school,accreditor,AccredAgency,string,,,,,IPEDS,
school,school_url,INSTURL,string,,,,true,IPEDS,
school,price_calculator_url,NPCURL,string,,,,true,IPEDS,
school,degrees_awarded.predominant_recoded,sch_deg,integer,,,,,IPEDS,"Missing values, 0s, and 4s from PREDDEG recoded according to NSLDS program length"
school,main_campus,main,integer,,0,Not main campus,,IPEDS,
school,,,,,1,Main campus,,,
school,branches,NUMBRANCH,integer,,,,,IPEDS,
school,degrees_awarded.predominant,PREDDEG,integer,,0,Not classified,true,IPEDS,
school,,,,,1,Predominantly certificate-degree granting,,,
school,,,,,2,Predominantly associate's-degree granting,,,
school,,,,,3,Predominantly bachelor's-degree granting,,,
school,,,,,4,Entirely graduate-degree granting,,,
school,degrees_awarded.highest,HIGHDEG,integer,,0,Non-degree-granting,true,IPEDS,
school,,,,,1,Certificate degree,,,
school,,,,,2,Associate degree,,,
school,,,,,3,Bachelor's degree,,,
school,,,,,4,Graduate degree,,,
school,ownership,CONTROL,integer,,1,Public,true,IPEDS,
school,,,,,2,Private nonprofit,,,
school,,,,,3,Private for-profit,,,
school,state_fips,st_fips,integer,,1,Alabama,,IPEDS,
school,,,,,2,Alaska,,,
school,,,,,4,Arizona,,,
school,,,,,5,Arkansas,,,
school,,,,,6,California,,,
school,,,,,8,Colorado,,,
school,,,,,9,Connecticut,,,
school,,,,,10,Delaware,,,
school,,,,,11,District of Columbia,,,
school,,,,,12,Florida,,,
school,,,,,13,Georgia,,,
school,,,,,15,Hawaii,,,
school,,,,,16,Idaho,,,
school,,,,,17,Illinois,,,
school,,,,,18,Indiana,,,
school,,,,,19,Iowa,,,
school,,,,,20,Kansas,,,
school,,,,,21,Kentucky,,,
school,,,,,22,Louisiana,,,
school,,,,,23,Maine,,,
school,,,,,24,Maryland,,,
school,,,,,25,Massachusetts,,,
school,,,,,26,Michigan,,,
school,,,,,27,Minnesota,,,
school,,,,,28,Mississippi,,,
school,,,,,29,Missouri,,,
school,,,,,30,Montana,,,
school,,,,,31,Nebraska,,,
school,,,,,32,Nevada,,,
school,,,,,33,New Hampshire,,,
school,,,,,34,New Jersey,,,
school,,,,,35,New Mexico,,,
school,,,,,36,New York,,,
school,,,,,37,North Carolina,,,
school,,,,,38,North Dakota,,,
school,,,,,39,Ohio,,,
school,,,,,40,Oklahoma,,,
school,,,,,41,Oregon,,,
school,,,,,42,Pennsylvania,,,
school,,,,,44,Rhode Island,,,
school,,,,,45,South Carolina,,,
school,,,,,46,South Dakota,,,
school,,,,,47,Tennessee,,,
school,,,,,48,Texas,,,
school,,,,,49,Utah,,,
school,,,,,50,Vermont,,,
school,,,,,51,Virginia,,,
school,,,,,53,Washington,,,
school,,,,,54,West Virginia,,,
school,,,,,55,Wisconsin,,,
school,,,,,56,Wyoming,,,
school,,,,,60,American Samoa,,,
school,,,,,64,Federated States of Micronesia,,,
school,,,,,66,Guam,,,
school,,,,,69,Northern Mariana Islands,,,
school,,,,,70,Palau,,,
school,,,,,72,Puerto Rico,,,
school,,,,,78,Virgin Islands,,,
school,region_id,region,integer,,0,U.S. Service Schools,true,IPEDS,
school,,,,,1,"New England (CT, ME, MA, NH, RI, VT)",,,
school,,,,,2,"Mid East (DE, DC, MD, NJ, NY, PA)",,,
school,,,,,3,"Great Lakes (IL, IN, MI, OH, WI)",,,
school,,,,,4,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,
school,,,,,5,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,
school,,,,,6,"Southwest (AZ, NM, OK, TX)",,,
school,,,,,7,"Rocky Mountains (CO, ID, MT, UT, WY)",,,
school,,,,,8,"Far West (AK, CA, HI, NV, OR, WA)",,,
school,,,,,9,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)",,,
school,locale,LOCALE,integer,,11,"City: Large (population of 250,000 or more)",,IPEDS,
school,,,,,12,"City: Midsize (population of at least 100,000 but less than 250,000)",,,
school,,,,,13,"City: Small (population less than 100,000)",,,
school,,,,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",,,
school,,,,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",,,
school,,,,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",,,
school,,,,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),,,
school,,,,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),,,
school,,,,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),,,
school,,,,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),,,
school,,,,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),,,
school,,,,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),,,
school,degree_urbanization,locale2,integer,,1,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)",,IPEDS,Not available after 2005
school,,,,,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)",,,
school,,,,,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau),,,
school,,,,,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau),,,
school,,,,,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)",,,
school,,,,,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)",,,
school,,,,,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)",,,
school,,,,,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)",,,
root,location.lat,LATITUDE,float,,,,,IPEDS,
root,location.lon,LONGITUDE,float,,,,,IPEDS,
school,carnegie_basic,CCBASIC,integer,,0,Not classified,,IPEDS,
school,,,,,1,Associate's--Public Rural-serving Small,,,
school,,,,,2,Associate's--Public Rural-serving Medium,,,
school,,,,,3,Associate's--Public Rural-serving Large,,,
school,,,,,4,Associate's--Public Suburban-serving Single Campus,,,
school,,,,,5,Associate's--Public Suburban-serving Multicampus,,,
school,,,,,6,Associate's--Public Urban-serving Single Campus,,,
school,,,,,7,Associate's--Public Urban-serving Multicampus,,,
school,,,,,8,Associate's--Public Special Use,,,
school,,,,,9,Associate's--Private Not-for-profit,,,
school,,,,,10,Associate's--Private For-profit,,,
school,,,,,11,Associate's--Public 2-year colleges under 4-year universities,,,
school,,,,,12,Associate's--Public 4-year Primarily Associate's,,,
school,,,,,13,Associate's--Private Not-for-profit 4-year Primarily Associate's,,,
school,,,,,14,Associate's--Private For-profit 4-year Primarily Associate's,,,
school,,,,,15,Research Universities (very high research activity),,,
school,,,,,16,Research Universities (high research activity),,,
school,,,,,17,Doctoral/Research Universities,,,
school,,,,,18,Master's Colleges and Universities (larger programs),,,
school,,,,,19,Master's Colleges and Universities (medium programs),,,
school,,,,,20,Master's Colleges and Universities (smaller programs),,,
school,,,,,21,Baccalaureate Colleges--Arts & Sciences,,,
school,,,,,22,Baccalaureate Colleges--Diverse Fields,,,
school,,,,,23,Baccalaureate/Associate's Colleges,,,
school,,,,,24,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,
school,,,,,25,Special Focus Institutions--Medical schools and medical centers,,,
school,,,,,26,Special Focus Institutions--Other health professions schools,,,
school,,,,,27,Special Focus Institutions--Schools of engineering,,,
school,,,,,28,Special Focus Institutions--Other technology-related schools,,,
school,,,,,29,Special Focus Institutions--Schools of business and management,,,
school,,,,,30,"Special Focus Institutions--Schools of art, music, and design",,,
school,,,,,31,Special Focus Institutions--Schools of law,,,
school,,,,,32,Special Focus Institutions--Other special-focus institutions,,,
school,,,,,33,Tribal Colleges,,,
school,carnegie_undergrad,CCUGPROF,integer,,1,Higher part-time two-year (associate’s degree-granting institutions with at least 60 percent of undergraduates enrolled part-time),,IPEDS,
,,,,,2,Mixed part/full-time two-year (associate’s degree-granting institutions with 40 to 59 percent of undergraduates enrolled part-time),,,
,,,,,3,Medium full-time two-year (associate’s degree-granting institutions with 10 to 39 percent of undergraduates enrolled part-time),,,
,,,,,4,Higher full-time two-year (associate’s degree-granting institutions with less than 10 percent of undergraduates enrolled part-time),,,
,,,,,5,Higher part-time four-year (bachelor’s degree-granting institutions with at least 40 percent of undergraduates enrolled part-time),,,
,,,,,6,"Medium full-time four-year, inclusive (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)",,,
,,,,,7,"Medium full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,,
,,,,,8,"Medium full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,,
,,,,,9,"Full-time four-year, inclusive (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)",,,
,,,,,10,"Full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,,
,,,,,11,"Full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,,
,,,,,12,"Full-time four-year, more selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,,
,,,,,13,"Full-time four-year, more selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,,
,,,,,14,Not classified or not applicable,,,
school,carnegie_size_setting,CCSIZSET,integer,,1,"Very small 2-year (confers associate’s degrees, FTE enrollment less than 500)",,IPEDS,
,,,,,2,"Small 2-year (confers associate’s degrees, FTE enrollment 500 to 1,999)",,,
,,,,,3,"Medium 2-year (confers associate’s degrees, FTE enrollment 2000 to 4,999)",,,
,,,,,4,"Large 2-year (confers associate’s degrees, FTE enrollment 5000 to 9,999)",,,
,,,,,5,"Very large 2-year (confers associate’s degrees, FTE enrollment 10,000 or more)",,,
,,,,,6,"Very small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment less than 1,000, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,,
,,,,,7,"Very small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment less than 1,000, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,,
,,,,,8,"Very small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment less than 1,000, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,,
,,,,,9,"Small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,,
